event_id,event_class,reference_time,station,positive_channels,required_station_days,crosses_day_boundary,complete_positive_channels,missing_positive_channels,station_request_usable
levent-07944,deep_moonquake_assigned,1974-04-09T21:50:00,S12,MH2;MHZ,1974-099,0,MH2;MHZ,,1
levent-07944,deep_moonquake_assigned,1974-04-09T21:50:00,S14,MH2;MHZ,1974-099,0,MH2,MHZ,1
levent-07944,deep_moonquake_assigned,1974-04-09T21:50:00,S15,MH2;MHZ,1974-099,0,MH2;MHZ,,1
levent-07965,natural_impact,1974-04-16T11:44:00,S12,MH1;MH2;MHZ,1974-106,0,MH1;MH2;MHZ,,1
levent-07965,natural_impact,1974-04-16T11:44:00,S14,MH1;MH2;SHZ,1974-106,0,MH1;MH2;SHZ,,1
levent-07965,natural_impact,1974-04-16T11:44:00,S15,MH1;MH2;MHZ,1974-106,0,MH1;MH2;MHZ,,1
levent-07965,natural_impact,1974-04-16T11:44:00,S16,MH1;MH2,1974-106,0,MH1;MH2,,1
levent-07982,natural_impact,1974-04-19T18:34:00,S12,MH1;MH2;MHZ,1974-109,0,MH1;MH2;MHZ,,1
levent-07982,natural_impact,1974-04-19T18:34:00,S14,MH1;MH2;SHZ,1974-109,0,MH1;MH2;SHZ,,1
levent-07982,natural_impact,1974-04-19T18:34:00,S15,MH1;MH2;MHZ,1974-109,0,MH1;MH2;MHZ,,1
levent-07982,natural_impact,1974-04-19T18:34:00,S16,MH1;MH2;MHZ;SHZ,1974-109,0,MH1;MH2;MHZ;SHZ,,1
levent-07998,deep_moonquake_assigned,1974-04-21T13:10:00,S12,MH1;MH2;MHZ,1974-111,0,MH1;MH2;MHZ,,1
levent-07998,deep_moonquake_assigned,1974-04-21T13:10:00,S14,MH1;MH2,1974-111,0,MH1;MH2,,1
levent-07998,deep_moonquake_assigned,1974-04-21T13:10:00,S15,MH1;MH2;MHZ,1974-111,0,MH1;MH2;MHZ,,1
levent-07998,deep_moonquake_assigned,1974-04-21T13:10:00,S16,MH1;MH2,1974-111,0,MH1;MH2,,1
levent-08004,deep_moonquake_assigned,1974-04-22T09:18:00,S14,MH1;MH2,1974-112,0,MH1;MH2,,1
levent-08004,deep_moonquake_assigned,1974-04-22T09:18:00,S16,MH1;MH2;MHZ,1974-112,0,MH1;MH2;MHZ,,1
levent-08007,deep_moonquake_assigned,1974-04-22T19:19:00,S12,MH1;MH2;MHZ,1974-112,0,MH1;MH2;MHZ,,1
levent-08007,deep_moonquake_assigned,1974-04-22T19:19:00,S14,MH1;MH2;SHZ,1974-112,0,MH1;MH2;SHZ,,1
levent-08007,deep_moonquake_assigned,1974-04-22T19:19:00,S15,MH1;MH2,1974-112,0,MH1;MH2,,1
levent-08007,deep_moonquake_assigned,1974-04-22T19:19:00,S16,MH1;MH2,1974-112,0,MH1;MH2,,1
levent-08009,deep_moonquake_assigned,1974-04-25T00:36:00,S12,MH1;MH2;MHZ,1974-115,0,MH1;MH2;MHZ,,1
levent-08009,deep_moonquake_assigned,1974-04-25T00:36:00,S14,MH1;MH2;SHZ,1974-115,0,MH1;MH2;SHZ,,1
levent-08009,deep_moonquake_assigned,1974-04-25T00:36:00,S16,MH1;MH2,1974-115,0,MH1;MH2,,1
levent-08014,natural_impact,1974-04-26T00:02:00,S12,MH1;MH2;MHZ,1974-116,0,MH1;MH2;MHZ,,1
levent-08014,natural_impact,1974-04-26T00:02:00,S14,MH1;MH2;SHZ,1974-116,0,MH1;MH2;SHZ,,1
levent-08014,natural_impact,1974-04-26T00:02:00,S15,MH1;MH2;MHZ,1974-116,0,MH1;MH2;MHZ,,1
levent-08014,natural_impact,1974-04-26T00:02:00,S16,MH1;MH2;MHZ,1974-116,0,MH1;MH2;MHZ,,1
levent-08016,deep_moonquake_assigned,1974-04-26T09:18:00,S12,MH1;MH2;MHZ,1974-116,0,MH1;MH2;MHZ,,1
levent-08016,deep_moonquake_assigned,1974-04-26T09:18:00,S14,MH1;MH2;SHZ,1974-116,0,MH1;MH2;SHZ,,1
levent-08016,deep_moonquake_assigned,1974-04-26T09:18:00,S15,MH1;MH2;MHZ,1974-116,0,MH1;MH2;MHZ,,1
levent-08016,deep_moonquake_assigned,1974-04-26T09:18:00,S16,MH1;MH2;MHZ;SHZ,1974-116,0,MH1;MH2;MHZ;SHZ,,1
levent-08019,natural_impact,1974-04-27T14:18:00,S12,MH1;MH2;MHZ,1974-117,0,MH1;MH2;MHZ,,1
levent-08019,natural_impact,1974-04-27T14:18:00,S14,MH1;MH2;SHZ,1974-117,0,MH1;MH2;SHZ,,1
levent-08019,natural_impact,1974-04-27T14:18:00,S15,MH1;MH2;MHZ;SHZ,1974-117,0,MH1;MH2;MHZ;SHZ,,1
levent-08019,natural_impact,1974-04-27T14:18:00,S16,MH1;MH2;MHZ;SHZ,1974-117,0,MH1;MH2;MHZ;SHZ,,1
levent-08021,natural_impact,1974-04-27T22:22:00,S12,MH1;MH2,1974-117,0,MH1;MH2,,1
levent-08021,natural_impact,1974-04-27T22:22:00,S14,MH1;MH2;SHZ,1974-117,0,MH1;MH2;SHZ,,1
levent-08021,natural_impact,1974-04-27T22:22:00,S15,MH2,1974-117,0,MH2,,1
levent-08021,natural_impact,1974-04-27T22:22:00,S16,MH1;MH2,1974-117,0,MH1;MH2,,1
levent-08025,deep_moonquake_assigned,1974-05-04T22:12:00,S12,MH1;MH2;MHZ,1974-124,0,MH1;MH2;MHZ,,1
levent-08025,deep_moonquake_assigned,1974-05-04T22:12:00,S14,MH1;MH2,1974-124,0,MH1;MH2,,1
levent-08025,deep_moonquake_assigned,1974-05-04T22:12:00,S15,MH1;MH2;MHZ,1974-124,0,MH1;MH2;MHZ,,1
levent-08025,deep_moonquake_assigned,1974-05-04T22:12:00,S16,MH1;MH2;MHZ,1974-124,0,MH1;MH2;MHZ,,1
levent-08042,natural_impact,1974-05-09T13:28:00,S12,MH1;MH2;MHZ,1974-129,0,MH1;MH2;MHZ,,1
levent-08042,natural_impact,1974-05-09T13:28:00,S14,MH1;MH2,1974-129,0,MH1;MH2,,1
